α \alpha
ι \iota
ϱ \varrho
β \beta
κ \kappa
σ \sigma
γ \gamma
λ \lambda
ς \varsigma
δ \delta
μ \mu
τ \tau
ε \epsilon
ε \varepsilon
ν \nu
υ \upsilon
ξ \xi
ϕ \phi
ζ \zeta
ο o
φ \varphi
η \eta
π \pi
χ \chi
θ \theta
ϖ \varpi
ψ \psi
ϑ \vartheta
ρ \rho
ω \omega
Γ \Gamma
Ξ \Xi
Φ \Phi
Δ \Delta
Π \Pi
Ψ \Psi
Θ \Theta
Σ \Sigma
Ω \Omega
Λ \Lambda
Υ \Upsilon
ℵ \aleph
∀ \forall
ℏ \hbar
∅ \emptyset
∃ \exists
ı \imath
∇ \nabla
¬ \neg
√ \surd
♭ \flat
ℓ \ell
⊤ \top
♮ \natural
℘ \wp
⊥ \bot
♯ \sharp
ℜ \Re
∥ \|
♣ \clubsuit
ℑ \Im
∠ \angle
♢ \diamondsuit
∂ \partial
△ \triangle
♡ \heartsuit
∞ \infty
\ \backslash
♠ \spadesuit
∑ \sum
⋂ \bigcap
⊙ \bigodot
∏ \prod
⋃ \bigcup
⊗ \bigotimes
∐ \coprod
⊕ \bigoplus
∫ \int
⋁ \bigvee
⊎ \biguplus
∮ \oint
⋀ \bigwedge
± \pm
∩ \cap
∨ \vee
∓ \mp
∪ \cup
∧ \wedge
∖ \setminus
⊎ \uplus
⊕ \oplus
⋅ \cdot
⊓ \sqcap
⊖ \ominus
× \times
⊔ \sqcup
⊗ \otimes
∗ \ast
◁ \triangleleft
⊘ \oslash
⋆ \star
▷ \triangleright
⊙ \odot
⋄ \diamond
≀ \wr
† \dagger
∘ \circ
◯ \bigcirc
‡ \ddagger
∙ \bullet
△ \bigtriangleup
∐ \amalg
÷ \div
▽ \bigtriangledown
≤ \leq
≥ \geq
≡ \equiv
≺ \prec
≻ \succ
∼ \sim
≼ \preceq
≽ \succeq
≃ \simeq
≪ \ll
≫ \gg
≍ \asymp
⊂ \subset
⊃ \supset
≈ \approx
⊆ \subseteq
⊇ \supseteq
≅ \cong
⊑ \sqsubseteq
⊒ \sqsupseteq
⋈ \bowtie
∈ \in
∋ \ni
∝ \propto
⊢ \vdash
⊣ \dashv
⊨ \models
⌣ \smile
∣ \mid
≐ \doteq
⌢ \frown
∥ \parallel
⊥ \perp
≮ \not&lt
≯ \not>
≠ \not=
≰ \not\leq
≱ \not\geq
≢ \not\equiv
⊀ \not\prec
⊁ \not\succ
≁ \not\sim
⋠ \not\preceq
⋡ \not\succeq
≄ \not\simeq
⊄ \not\subset
⊅ \not\supset
≉ \not\approx
⊈ \not\subseteq
⊉ \not\supseteq
≇ \not\cong
⋢ \not\sqsubseteq
⋣ \not\sqsupseteq
≭ \not\asymp
← \leftarrow
↑ \uparrow
⇐ \Leftarrow
⇑ \Uparrow
→ \rightarrow
↓ \downarrow
⇒ \Rightarrow
⇓ \Downarrow
↔ \leftrightarrow
↕ \updownarrow
⇔ \Leftrightarrow
⇕ \Updownarrow
↦ \mapsto
↗ \nearrow
↩ \hookleftarrow
↪ \hookrightarrow
↘ \searrow
↼ \leftharpoonup
⇀ \rightharpoonup
↙ \swarrow
↽ \leftharpoondown
⇁ \rightharpoondown
↖ \nwarrow
⇌ \rightleftharpoons
[ \lbrack
⌊ \lfloor
⌈ \lceil
{ \lbrace
〈 \langle
] \rbrack
⌋ \rfloor
⌉ \rceil
} \rbrace
〉 \rangle
≠ \ne or \neq
≤ \le
≥ \ge
{ \{		
} \}		
→ \to
← \gets
∋ \owns
∧ \land
∨ \lor
¬ \lnot
∣ \vert
∥ \Vert
§ \S
¶ \P
† \dag
‡ \ddag
œ \oe
Œ \OE
æ \ae
Æ \AE
å \aa
Å \AA
ø \o
Ø \O
ł \l
Ł \L
ß \ss
